start	21	56	1	7	6
	182005	91.707295	-8.996070	1.002973e+05	1.647028e+01	56	1	7	6
	182006	92.042709	-8.994374	1.001882e+05	1.661714e+01	56	1	7	12
	181994	91.292708	-9.204990	1.000096e+05	1.856860e+01	56	1	8	0
	181994	91.292708	-9.204990	9.990580e+04	1.895323e+01	56	1	8	6
	181994	91.292708	-9.204990	9.964988e+04	2.095471e+01	56	1	8	12
	181994	91.292708	-9.204990	9.949612e+04	2.189768e+01	56	1	8	18
	181995	91.500000	-9.204192	9.917244e+04	2.402760e+01	56	1	9	0
	181999	91.707295	-9.538549	9.890036e+04	2.765868e+01	56	1	9	6
	180923	92.042709	-9.951092	9.877379e+04	2.553335e+01	56	1	9	12
	180920	92.042709	-10.286306	9.866390e+04	2.650705e+01	56	1	9	18
	179851	92.457296	-10.697675	9.833955e+04	2.714749e+01	56	1	10	0
	178767	92.250000	-11.241548	9.822912e+04	2.708499e+01	56	1	10	6
	178769	92.792711	-11.779094	9.812377e+04	2.863945e+01	56	1	10	12
	177689	92.792711	-12.528282	9.812548e+04	2.826693e+01	56	1	10	18
	176610	93.000000	-13.275136	9.793346e+04	3.085270e+01	56	1	11	0
	174463	93.207300	-14.228587	9.767773e+04	2.962370e+01	56	1	11	6
	173381	93.542715	-15.179576	9.774959e+04	2.970227e+01	56	1	11	12
	172309	93.957304	-15.921180	9.805284e+04	2.764667e+01	56	1	11	18
	171231	94.500000	-16.658651	9.863866e+04	2.567704e+01	56	1	12	0
	170159	95.042722	-17.393811	9.858469e+04	2.482230e+01	56	1	12	6
	169091	95.792725	-17.913971	9.901234e+04	2.441953e+01	56	1	12	12
start	10	56	1	8	6
	25202	39.542939	-22.259077	1.002030e+05	1.643279e+01	56	1	8	6
	24120	39.750000	-22.834128	9.995029e+04	1.630410e+01	56	1	8	12
	24120	39.750000	-22.834128	9.998753e+04	1.610677e+01	56	1	8	18
	23044	39.957553	-23.409201	9.969882e+04	1.865911e+01	56	1	9	0
	20881	39.957577	-24.514484	9.968790e+04	1.996317e+01	56	1	9	6
	18716	40.293019	-25.699539	9.936727e+04	1.911286e+01	56	1	9	12
	17634	40.500000	-26.280778	9.935649e+04	2.154751e+01	56	1	9	18
	14393	41.043084	-28.058829	9.927521e+04	2.009431e+01	56	1	10	0
	11154	42.000000	-29.693305	9.929491e+04	2.157725e+01	56	1	10	6
	6839	43.293221	-31.866983	9.921469e+04	2.012898e+01	56	1	10	12
start	31	56	1	17	0
	33839	37.292846	-17.782990	1.002920e+05	1.369394e+01	56	1	17	0
	36006	37.500000	-16.486267	1.005213e+05	1.606541e+01	56	1	17	6
	36022	38.457416	-16.283987	1.002999e+05	1.182060e+01	56	1	17	12
	37104	39.000000	-15.828998	1.001926e+05	1.367320e+01	56	1	18	0
	38217	41.250000	-14.480611	9.990095e+04	1.867347e+01	56	1	18	12
